Order_ID,Order_Date,Customer_ID,Product,Category,Region,City,Customer_Segment,Sales_Channel,Quantity,Unit_Price,Discount,Revenue,Cost,Profit,Month
ORD00001,2025-11-24,CUST1280,Smartphone,Electronics,North,Lucknow,Consumer,Online,1,27437.94,0.15,23322.25,19755.32,3566.93,2025-11
ORD00002,2025-02-14,CUST1102,Printer,Electronics,South,Hyderabad,Consumer,Online,3,15009.6,0.1,40525.92,32420.74,8105.18,2025-02
ORD00003,2025-11-29,CUST1217,Mouse,Accessories,South,Kochi,Corporate,Retail Store,1,1244.54,0.02,1219.65,684.5,535.15,2025-11
ORD00004,2025-06-24,CUST1310,Office Chair,Furniture,North,Lucknow,Consumer,Online,2,12189.42,0.05,23159.9,15114.88,8045.02,2025-06
ORD00005,2025-05-16,CUST1317,Laptop,Electronics,West,Mumbai,Home Office,Online,3,61422.59,0.15,156627.6,132672.79,23954.81,2025-05
ORD00006,2025-07-05,CUST1120,Printer,Electronics,North,Delhi,Consumer,Online,2,13229.43,0.0,26458.86,19050.38,7408.48,2025-07
ORD00007,2025-02-21,CUST1350,Backpack,Accessories,South,Chennai,Consumer,Online,4,1672.73,0.15,5687.28,3680.01,2007.27,2025-02
ORD00008,2025-11-28,CUST1328,Smartphone,Electronics,East,Bhubaneswar,Corporate,Online,2,29640.47,0.05,56316.89,42682.28,13634.61,2025-11
ORD00009,2025-12-19,CUST1162,Mouse,Accessories,North,Lucknow,Home Office,Retail Store,2,1219.41,0.0,2438.82,1341.35,1097.47,2025-12
ORD00010,2025-07-25,CUST1235,Office Chair,Furniture,North,Lucknow,Consumer,Online,6,12399.5,0.15,63237.45,46126.14,17111.31,2025-07
ORD00011,2025-03-15,CUST1113,Office Chair,Furniture,North,Lucknow,Corporate,Online,3,11079.52,0.05,31576.63,20607.91,10968.72,2025-03
ORD00012,2025-03-12,CUST1217,Mouse,Accessories,South,Hyderabad,Home Office,Online,1,1290.22,0.15,1096.69,709.62,387.07,2025-03
ORD00013,2025-11-02,CUST1349,Smartphone,Electronics,South,Kochi,Corporate,Distributor,5,29489.34,0.0,147446.7,106161.62,41285.08,2025-11
ORD00014,2025-02-28,CUST1135,Mouse,Accessories,West,Ahmedabad,Consumer,Online,2,1144.77,0.15,1946.11,1259.25,686.86,2025-02
ORD00015,2025-09-14,CUST1102,Headphones,Electronics,South,Hyderabad,Home Office,Online,3,3321.82,0.1,8968.91,7175.13,1793.78,2025-09
ORD00016,2025-03-20,CUST1158,Desk,Furniture,West,Mumbai,Corporate,Online,1,14240.17,0.05,13528.16,8828.91,4699.25,2025-03
ORD00017,2025-05-03,CUST1065,Laptop,Electronics,South,Hyderabad,Consumer,Online,1,62964.12,0.1,56667.71,45334.17,11333.54,2025-05
ORD00018,2025-03-07,CUST1277,Keyboard,Accessories,West,Pune,Consumer,Distributor,2,2208.71,0.02,4329.07,2429.58,1899.49,2025-03
ORD00019,2025-12-20,CUST1232,Monitor,Electronics,West,Surat,Home Office,Retail Store,2,17804.0,0.1,32047.2,25637.76,6409.44,2025-12
ORD00020,2025-03-03,CUST1037,Monitor,Electronics,North,Lucknow,Consumer,Retail Store,3,17398.74,0.0,52196.22,37581.28,14614.94,2025-03
ORD00021,2025-12-29,CUST1249,Laptop,Electronics,North,Delhi,Home Office,Online,2,66163.27,0.15,112477.56,95275.11,17202.45,2025-12
ORD00022,2025-04-20,CUST1050,Mouse,Accessories,North,Chandigarh,Consumer,Online,2,1130.78,0.0,2261.56,1243.86,1017.7,2025-04
ORD00023,2025-12-04,CUST1051,Backpack,Accessories,South,Kochi,Consumer,Retail Store,4,1740.14,0.15,5916.48,3828.31,2088.17,2025-12
ORD00024,2025-02-01,CUST1094,Backpack,Accessories,West,Mumbai,Consumer,Online,2,1761.51,0.08,3241.18,1937.66,1303.52,2025-02
ORD00025,2025-05-23,CUST1334,Keyboard,Accessories,South,Hyderabad,Consumer,Distributor,3,2184.54,0.0,6553.62,3604.49,2949.13,2025-05
ORD00026,2025-10-04,CUST1031,Laptop,Electronics,West,Pune,Consumer,Online,2,67965.83,0.08,125057.13,97870.8,27186.33,2025-10
